x_norm,y_norm,w_norm,h_norm,text_length,word_count,is_single_line,has_punctuation,letter_ratio,label
0.242,0.6951,0.3426,0.0763,60,12,0,0,0.6597,0
0.3901,0.1135,0.1936,0.059,9,2,1,0,0.8326,1
0.1822,0.6063,0.7439,0.135,60,12,0,1,0.9144,0
0.1185,0.1671,0.6985,0.1576,240,60,0,1,0.8003,0
0.124,0.6187,0.6357,0.1744,258,43,0,1,0.7124,0
0.2555,0.0462,0.2407,0.0477,8,2,1,0,0.8276,1
0.479,0.9632,0.1136,0.0203,7,2,1,0,0.8932,1
0.4643,0.3571,0.5159,0.0975,45,9,0,1,0.679,0
0.2475,0.6837,0.4633,0.0746,78,13,0,1,0.7824,0
0.5523,0.7617,0.151,0.0426,3,1,1,0,0.8632,1
0.7276,0.9567,0.1512,0.0209,3,1,1,0,0.8204,1
0.2677,0.3041,0.3704,0.0974,154,22,0,1,0.893,0
0.5399,0.9278,0.2129,0.0217,9,1,1,0,0.934,1
0.1609,0.4586,0.7894,0.0931,80,16,0,1,0.7369,0
0.6992,0.9207,0.161,0.0399,4,2,1,0,0.9577,1
0.6714,0.9015,0.2467,0.0398,4,2,1,0,0.9944,1
0.0606,0.0843,0.1342,0.0329,5,1,1,0,0.8789,1
0.5286,0.0359,0.1302,0.047,4,2,1,0,0.8754,1
0.4334,0.95,0.2083,0.0383,3,1,1,0,0.935,1
0.1038,0.3852,0.7887,0.1474,70,14,0,1,0.8086,0
0.3189,0.0055,0.1316,0.0314,2,2,1,0,0.8414,1
0.8492,0.4072,0.1336,0.0496,5,1,1,0,0.8707,1
0.1017,0.829,0.112,0.0297,10,1,1,0,0.778,1
0.521,0.4902,0.1026,0.0398,4,1,1,0,0.9294,1
0.4511,0.9295,0.0874,0.0279,5,1,1,0,0.801,1
0.03,0.6233,0.1693,0.0333,14,1,1,0,0.878,1
0.1518,0.4007,0.6821,0.0747,225,45,0,1,0.877,0
0.4832,0.0133,0.1991,0.0568,4,1,1,0,0.8924,1
0.0222,0.5467,0.1315,0.0239,11,3,1,0,0.8027,1
0.2874,0.3181,0.3328,0.1076,24,6,1,0,0.7472,0
0.09,0.4162,0.5912,0.1867,96,16,0,1,0.8963,0
0.1965,0.3682,0.1169,0.0249,3,1,1,0,0.9548,1
0.5483,0.0947,0.3011,0.0374,7,1,1,0,0.8051,1
0.181,0.4879,0.1797,0.0317,8,1,1,0,0.919,1
0.4394,0.0847,0.3749,0.0363,11,2,1,0,0.8649,1
0.348,0.5204,0.6449,0.0882,45,9,0,0,0.7811,0
0.1407,0.3102,0.3176,0.0807,20,4,1,0,0.8127,0
0.0969,0.3187,0.7219,0.0768,100,20,0,1,0.8867,0
0.7233,0.9149,0.1717,0.0439,9,2,1,0,0.7233,1
0.3906,0.9713,0.1849,0.0205,10,2,1,0,0.8843,1
0.4955,0.0705,0.1633,0.0342,11,2,1,0,0.947,1
0.7037,0.0405,0.1752,0.058,8,2,1,0,0.967,1
0.517,0.2188,0.3034,0.1196,12,4,1,1,0.8589,0
0.0371,0.8822,0.1421,0.027,11,2,1,0,0.8886,1
0.0383,0.5571,0.1249,0.0308,8,1,1,0,0.8099,1
0.3971,0.0487,0.4614,0.0456,7,2,1,0,0.9786,1
0.0453,0.7362,0.1034,0.0266,5,1,1,0,0.9268,1
0.8427,0.5468,0.1376,0.0206,4,1,1,0,0.9424,1
0.3257,0.5853,0.5513,0.1177,54,9,0,1,0.8236,0
0.2389,0.0883,0.3604,0.0286,11,2,1,0,0.8722,1
0.095,0.093,0.2459,0.0252,6,1,1,0,0.8224,1
0.5376,0.2477,0.0907,0.0376,7,1,1,0,0.8252,1
0.1252,0.7605,0.5668,0.0735,24,4,1,0,0.6932,0
0.494,0.5327,0.5626,0.0724,27,9,0,1,0.7263,0
0.3429,0.5217,0.5263,0.0812,57,19,0,0,0.8052,0
0.181,0.2155,0.5706,0.1306,68,17,0,1,0.8522,0
0.0522,0.4546,0.7144,0.1877,275,55,0,1,0.7073,0
0.0257,0.976,0.2149,0.0451,5,1,1,0,0.7806,1
0.1488,0.489,0.1376,0.0305,5,1,1,0,0.9332,1
0.0944,0.3876,0.4513,0.0735,51,17,0,0,0.7682,0
0.4352,0.447,0.3914,0.1094,126,18,0,1,0.6606,0
0.0288,0.255,0.178,0.0394,8,1,1,0,0.7733,1
0.508,0.4895,0.2611,0.0833,12,3,1,0,0.8571,0
0.7597,0.9318,0.2482,0.0297,5,1,1,0,0.8391,1
0.0753,0.7088,0.6051,0.2088,120,30,0,1,0.8751,0
0.0523,0.1622,0.6803,0.2412,110,22,0,1,0.7731,0
0.1904,0.09,0.281,0.0468,4,2,1,0,0.8991,1
0.5408,0.9377,0.0816,0.0262,3,2,1,0,0.8121,1
0.1046,0.6518,0.5301,0.2181,105,21,0,1,0.8833,0
0.4814,0.412,0.5514,0.0396,144,24,0,0,0.8785,0
0.1651,0.4823,0.8162,0.2151,102,17,0,1,0.7067,0
0.3749,0.444,0.6143,0.1117,112,16,0,0,0.8168,0
0.3171,0.8429,0.3943,0.0347,80,20,0,0,0.7656,0
0.2405,0.1212,0.1508,0.0299,2,1,1,0,0.9326,1
0.3939,0.9561,0.162,0.0286,7,2,1,0,0.7794,1
0.7695,0.9292,0.1373,0.0276,6,2,1,0,0.7811,1
0.0392,0.8748,0.1523,0.03,13,1,1,0,0.8999,1
0.4244,0.9283,0.2457,0.0242,7,1,1,0,0.8406,1
0.4058,0.9794,0.2065,0.0211,6,2,1,0,0.8204,1
0.7904,0.9244,0.1316,0.0435,5,1,1,0,0.7424,1
0.4625,0.2384,0.6441,0.0574,30,5,1,1,0.8452,0
0.0595,0.4396,0.5518,0.0755,210,42,0,1,0.7853,0
0.5153,0.4324,0.3336,0.0353,126,21,0,0,0.8216,0
0.4372,0.2711,0.6058,0.059,84,12,0,0,0.6707,0
0.027,0.2737,0.1865,0.0241,6,2,1,0,0.808,1
0.5057,0.7251,0.3421,0.0667,72,24,0,1,0.913,0
0.1897,0.2378,0.4451,0.1001,18,3,1,1,0.873,0
0.1962,0.2381,0.6162,0.1044,18,6,1,1,0.6954,0
0.5392,0.2034,0.596,0.1177,52,13,0,0,0.908,0
0.2191,0.5026,0.5069,0.0324,18,3,1,1,0.6651,0
0.1485,0.0977,0.0765,0.0273,5,2,1,0,0.9966,1
0.5438,0.4358,0.5858,0.0614,52,13,0,1,0.6816,0
0.1996,0.5482,0.6552,0.0787,152,38,0,1,0.7588,0
0.0536,0.5717,0.5802,0.0893,42,6,1,1,0.7216,0
0.314,0.0178,0.4511,0.0436,6,1,1,0,0.8929,1
0.127,0.0798,0.3088,0.0324,5,2,1,0,0.8551,1
0.5078,0.02,0.4704,0.0409,12,2,1,0,0.8495,1
0.0004,0.5489,0.0633,0.0357,14,3,1,0,0.9202,1
0.1575,0.4799,0.5066,0.0671,70,10,0,1,0.8397,0
0.058,0.2539,0.567,0.1286,72,12,0,1,0.867,0
0.1026,0.5889,0.1576,0.0334,12,2,1,0,0.997,1
0.1209,0.3315,0.7338,0.0725,145,29,0,1,0.8679,0
0.3637,0.6846,0.5598,0.1032,154,22,0,1,0.6665,0
0.0679,0.2738,0.1084,0.0254,7,2,1,0,0.8202,1
0.3065,0.9335,0.2379,0.0458,5,1,1,0,0.9599,1
0.2521,0.0009,0.2586,0.0254,3,1,1,0,0.9186,1
0.5173,0.7496,0.3887,0.1025,54,18,0,1,0.7539,0
0.329,0.941,0.1095,0.0439,8,1,1,0,0.8622,1
0.5607,0.0624,0.2176,0.059,3,1,1,0,0.9011,1
0.4249,0.0175,0.3047,0.0517,4,1,1,0,0.8158,1
0.2601,0.3924,0.4025,0.0968,90,15,0,1,0.9018,0
0.1666,0.2522,0.7295,0.1171,100,20,0,1,0.8694,0
0.3822,0.6929,0.3176,0.0936,20,5,1,0,0.8656,0
0.4968,0.9281,0.1854,0.0219,6,2,1,0,0.7117,1
0.1017,0.3312,0.5766,0.0722,102,17,0,1,0.8846,0
0.4588,0.8174,0.4966,0.1024,75,25,0,0,0.6565,0
0.1783,0.4174,0.8482,0.144,324,54,0,1,0.7909,0
0.2892,0.11,0.3565,0.0471,3,2,1,0,0.9454,1
0.6409,0.2195,0.1052,0.0356,3,1,1,0,0.9124,1
0.1166,0.1795,0.773,0.0906,306,51,0,1,0.8525,0
0.5106,0.2037,0.6287,0.0325,92,23,0,0,0.7738,0
0.1684,0.3794,0.8128,0.1977,66,11,0,1,0.8333,0
0.1423,0.2972,0.8396,0.1945,162,27,0,1,0.708,0
0.1199,0.2711,0.6015,0.0345,105,21,0,1,0.6531,0
0.1269,0.3033,0.5682,0.0727,77,11,0,1,0.8162,0
0.1054,0.3494,0.2513,0.0889,55,11,0,1,0.7259,0
0.1671,0.2528,0.8329,0.178,252,42,0,1,0.7777,0
0.457,0.8344,0.4816,0.0755,24,4,1,1,0.6617,0
0.2164,0.0653,0.4251,0.0343,3,1,1,0,0.8001,1
0.099,0.507,0.7075,0.2012,200,40,0,1,0.7668,0
0.1375,0.8955,0.0908,0.0271,10,2,1,0,0.9862,1
0.7331,0.915,0.1538,0.029,6,2,1,0,0.8576,1
0.0205,0.7343,0.1993,0.0315,4,2,1,0,0.7896,1
0.3001,0.7047,0.0719,0.0412,6,1,1,0,0.8866,1
0.1747,0.9374,0.2397,0.0324,3,2,1,0,0.8205,1
0.5897,0.9792,0.1152,0.0477,7,2,1,0,0.7082,1
0.1238,0.3403,0.6593,0.1553,132,22,0,1,0.8844,0
0.2521,0.4689,0.2549,0.047,72,18,0,1,0.8951,0
0.2147,0.1176,0.0641,0.0578,6,2,1,0,0.9306,1
0.4941,0.7668,0.2929,0.112,42,14,0,1,0.9358,0
0.2788,0.35,0.2775,0.0712,57,19,0,1,0.6607,0
0.5099,0.2107,0.5338,0.0874,84,21,0,1,0.8996,0
0.855,0.633,0.1129,0.0381,5,1,1,0,0.8141,1
0.7136,0.114,0.3906,0.0412,2,1,1,0,0.9253,1
0.0966,0.6947,0.1579,0.0227,12,2,1,0,0.8699,1
0.0554,0.1751,0.8512,0.1637,104,26,0,1,0.784,0
0.0303,0.6304,0.6635,0.1865,255,51,0,1,0.9034,0
0.068,0.8003,0.6138,0.061,48,12,0,0,0.6528,0
0.0102,0.6489,0.0518,0.0391,6,1,1,0,0.8945,1
0.1963,0.7032,0.3954,0.0551,50,10,0,1,0.9199,0
0.0836,0.3476,0.5249,0.2188,102,17,0,1,0.7008,0
0.2656,0.226,0.3344,0.0471,92,23,0,0,0.7783,0
0.08,0.629,0.0612,0.0492,5,1,1,0,0.9331,1
0.1989,0.6334,0.0923,0.0454,2,1,1,0,0.8669,1
0.0854,0.9349,0.1677,0.0317,9,1,1,0,0.7256,1
0.2498,0.0689,0.3701,0.048,5,1,1,0,0.9595,1
0.4289,0.9235,0.2067,0.0314,5,2,1,0,0.8678,1
0.7672,0.0334,0.477,0.0319,10,2,1,0,0.9787,1
0.36,0.624,0.2935,0.0542,78,13,0,1,0.7243,0
0.428,0.006,0.1337,0.0241,6,1,1,0,0.943,1
0.035,0.408,0.167,0.0206,6,3,1,0,0.8127,1
0.0832,0.3217,0.0888,0.0305,4,1,1,0,0.9595,1
0.0652,0.1167,0.1286,0.0236,9,1,1,0,0.7549,1
0.4045,0.9458,0.193,0.0498,4,1,1,0,0.8926,1
0.0422,0.452,0.1728,0.0326,12,2,1,0,0.7723,1
0.1397,0.7265,0.5075,0.0628,57,19,0,1,0.6895,0
0.0998,0.1609,0.5579,0.1321,108,18,0,1,0.8271,0
0.4695,0.6189,0.2767,0.0693,70,14,0,1,0.7699,0
0.1229,0.7707,0.4639,0.064,60,12,0,1,0.6682,0
0.0568,0.5184,0.0678,0.0353,4,1,1,0,0.8358,1
0.4854,0.1884,0.4116,0.0522,18,3,1,0,0.7889,0
0.3855,0.2936,0.3522,0.0458,175,25,0,1,0.9362,0
0.0976,0.5307,0.5802,0.1139,102,17,0,1,0.6775,0
0.0986,0.5447,0.4989,0.0303,154,22,0,1,0.7009,0
0.6242,0.4319,0.1634,0.0344,4,1,1,0,0.8224,1
0.0438,0.6793,0.5394,0.1437,300,50,0,1,0.8132,0
0.7848,0.1698,0.1785,0.0308,3,1,1,0,0.95,1
0.0701,0.2796,0.597,0.0628,224,56,0,1,0.8314,0
0.4903,0.554,0.0924,0.0407,5,1,1,0,0.8058,1
0.1318,0.7853,0.142,0.0385,10,3,1,0,0.8546,1
0.3055,0.6392,0.3407,0.077,138,23,0,0,0.7037,0
0.0544,0.0082,0.4378,0.0362,11,1,1,0,0.9158,1
0.1874,0.0055,0.1715,0.0255,3,1,1,0,0.8258,1
0.0922,0.0134,0.1496,0.0305,3,1,1,0,0.9228,1
0.31,0.0135,0.098,0.0573,5,1,1,0,0.952,1
0.0347,0.2185,0.5134,0.1742,126,21,0,1,0.8604,0
0.5605,0.0037,0.4375,0.0354,10,1,1,0,0.8845,1
0.6407,0.069,0.1178,0.0327,5,1,1,0,0.9525,1
0.12,0.4381,0.1078,0.0256,4,2,1,0,0.9081,1
0.0318,0.9555,0.1497,0.02,8,1,1,0,0.9889,1
0.0437,0.3,0.7125,0.2427,260,52,0,1,0.8643,0
0.5148,0.6518,0.274,0.0678,15,3,1,0,0.8121,0
0.117,0.6552,0.1285,0.025,12,3,1,0,0.848,1
0.0264,0.4219,0.121,0.0345,3,3,1,0,0.967,1
0.1561,0.8054,0.2828,0.0915,68,17,0,0,0.8356,0
0.1972,0.0231,0.3011,0.029,6,2,1,0,0.941,1
0.3805,0.9011,0.2232,0.0251,9,1,1,0,0.9155,1
0.7901,0.1134,0.1846,0.0585,6,2,1,0,0.9691,1
0.1913,0.4781,0.5933,0.0738,40,8,0,0,0.8384,0
0.4919,0.8244,0.3545,0.0426,60,20,0,1,0.7962,0
0.6248,0.9026,0.1611,0.0223,9,1,1,0,0.7914,1
0.0788,0.5569,0.1741,0.0325,9,3,1,0,0.7995,1
0.136,0.5462,0.1678,0.0305,8,3,1,0,0.965,1
0.0466,0.4145,0.5997,0.2266,225,45,0,1,0.7072,0
0.0036,0.6134,0.1517,0.0444,8,1,1,0,0.9795,1
0.1906,0.5748,0.6126,0.1153,240,48,0,1,0.8625,0
0.1283,0.218,0.7451,0.1414,324,54,0,1,0.7392,0
0.1179,0.5945,0.107,0.0234,10,3,1,0,0.8507,1
0.0501,0.5762,0.8881,0.2407,70,14,0,1,0.7472,0
0.0023,0.9423,0.2338,0.0401,5,2,1,0,0.7592,1
0.5976,0.0647,0.2428,0.0433,7,1,1,0,0.9995,1
0.043,0.8356,0.1276,0.0209,5,1,1,0,0.8478,1
0.3032,0.1803,0.3174,0.0785,133,19,0,0,0.8913,0
0.2773,0.1805,0.5171,0.0315,120,20,0,1,0.8029,0
0.3971,0.09,0.0945,0.0529,12,2,1,0,0.8091,1
0.403,0.0312,0.4686,0.0551,4,1,1,0,0.8635,1
0.6873,0.0723,0.1409,0.046,6,1,1,0,0.8321,1
0.2659,0.4566,0.2586,0.0682,25,5,1,1,0.7726,0
0.2581,0.4423,0.3446,0.034,20,4,1,1,0.7207,0
0.6462,0.1788,0.1516,0.0342,2,1,1,0,0.9146,1
0.8372,0.6329,0.1278,0.0497,5,1,1,0,0.8975,1
0.0154,0.5132,0.1705,0.0304,8,2,1,0,0.8739,1
0.0726,0.0706,0.1322,0.0215,5,1,1,0,0.9296,1
0.3292,0.262,0.3054,0.0614,25,5,1,0,0.7647,0
0.0239,0.3587,0.1467,0.0223,14,2,1,0,0.9163,1
0.37,0.4474,0.402,0.0468,132,22,0,1,0.8864,0
0.3706,0.9516,0.2237,0.0368,10,1,1,0,0.7762,1
0.5739,0.005,0.0774,0.0486,6,2,1,0,0.8032,1
0.3516,0.9552,0.224,0.0209,6,2,1,0,0.9579,1
0.8732,0.9182,0.074,0.036,7,1,1,0,0.9184,1
0.1226,0.1729,0.154,0.0254,8,3,1,0,0.7686,1
0.1319,0.6996,0.3575,0.0887,33,11,0,1,0.7611,0
0.3965,0.5229,0.1553,0.043,2,1,1,0,0.9358,1
0.7642,0.0389,0.2066,0.0447,8,1,1,0,0.809,1
0.1705,0.9103,0.1713,0.036,6,2,1,0,0.893,1
0.0135,0.2254,0.1416,0.0364,3,3,1,0,0.9328,1
0.721,0.0347,0.1414,0.0333,9,1,1,0,0.8444,1
0.0383,0.5347,0.0559,0.0292,15,3,1,0,0.7564,1
0.0561,0.556,0.1458,0.0294,11,1,1,0,0.9491,1
0.0526,0.5933,0.8197,0.1836,192,32,0,1,0.8157,0
0.1956,0.3283,0.3875,0.0656,48,16,0,0,0.6544,0
0.2957,0.91,0.1068,0.0349,10,2,1,0,0.7134,1
0.0499,0.4378,0.5869,0.1713,264,44,0,1,0.7524,0
0.0957,0.4219,0.1303,0.0202,13,1,1,0,0.951,1
0.1003,0.7943,0.4881,0.0678,147,21,0,0,0.9422,0
0.2856,0.3231,0.5309,0.0856,133,19,0,1,0.7923,0
0.0885,0.5682,0.8385,0.1998,138,23,0,1,0.9179,0
0.3103,0.3393,0.0892,0.0334,3,1,1,0,0.8956,1
0.1265,0.7197,0.1964,0.0229,6,1,1,0,0.8911,1
0.3577,0.3141,0.6368,0.0489,168,24,0,1,0.8506,0
0.5269,0.8472,0.1769,0.0222,6,1,1,0,0.8928,1
0.4331,0.1163,0.1094,0.0339,9,1,1,0,0.8583,1
0.6712,0.0477,0.1292,0.0463,5,1,1,0,0.8701,1
0.067,0.6151,0.1374,0.0358,4,3,1,0,0.9764,1
0.1108,0.6742,0.5731,0.1676,138,23,0,1,0.8507,0
0.5526,0.9524,0.2333,0.0228,4,2,1,0,0.7872,1
0.16,0.0495,0.4511,0.0229,11,2,1,0,0.8109,1
0.3717,0.2981,0.3743,0.0364,24,6,1,1,0.8455,0
0.1086,0.3102,0.1437,0.0246,14,1,1,0,0.8594,1
0.6215,0.0874,0.222,0.0523,8,1,1,0,0.9812,1
0.4601,0.6475,0.1739,0.0292,8,1,1,0,0.8398,1
0.8184,0.327,0.11,0.0484,3,1,1,0,0.9376,1
0.4121,0.4907,0.6202,0.0865,105,21,0,0,0.7693,0
0.7942,0.0657,0.0808,0.0534,9,2,1,0,0.8613,1
0.5976,0.9494,0.0914,0.0438,6,1,1,0,0.9612,1
0.2699,0.0658,0.3551,0.0596,8,2,1,0,0.8144,1
0.1429,0.0685,0.1216,0.0511,8,2,1,0,0.8704,1
0.552,0.9198,0.0901,0.0348,8,1,1,0,0.9344,1
0.2691,0.518,0.5658,0.0562,80,16,0,1,0.6523,0
0.2063,0.3884,0.4974,0.0425,56,14,0,0,0.9356,0
0.0045,0.1673,0.1429,0.032,14,2,1,0,0.8638,1
0.2485,0.5067,0.2828,0.0629,40,8,0,1,0.7222,0
0.3342,0.1078,0.0699,0.0597,10,1,1,0,0.8851,1
0.2205,0.526,0.1177,0.0414,2,1,1,0,0.9994,1
0.0758,0.333,0.109,0.0385,13,3,1,0,0.9209,1
0.2482,0.9174,0.1344,0.0352,6,1,1,0,0.8873,1
0.0665,0.5463,0.1903,0.0331,9,2,1,0,0.8392,1
0.0354,0.4839,0.6714,0.1138,174,29,0,1,0.7649,0
0.0425,0.7756,0.163,0.0246,12,3,1,0,0.9924,1
0.3985,0.1144,0.372,0.0247,9,2,1,0,0.8005,1
0.189,0.5998,0.3164,0.0938,63,21,0,1,0.6532,0
0.2702,0.087,0.3365,0.0321,8,1,1,0,0.8368,1
0.3301,0.6175,0.0507,0.0275,4,1,1,0,0.9735,1
0.166,0.5286,0.7477,0.217,172,43,0,1,0.7281,0
0.6872,0.034,0.3494,0.0508,4,1,1,0,0.9426,1
0.2407,0.0449,0.0674,0.0257,4,1,1,0,0.8647,1
0.0374,0.3886,0.6617,0.1187,216,36,0,1,0.9151,0
0.1794,0.0371,0.1752,0.0511,3,1,1,0,0.8713,1
0.0964,0.8813,0.1017,0.0337,6,1,1,0,0.9511,1
0.2842,0.6333,0.371,0.0487,60,12,0,1,0.8512,0
0.2227,0.7423,0.343,0.0827,44,11,0,1,0.7844,0
0.6384,0.7181,0.1457,0.0382,3,1,1,0,0.8634,1
0.4676,0.0009,0.4129,0.0275,4,2,1,0,0.999,1
0.734,0.4328,0.0531,0.0478,6,1,1,0,0.8775,1
0.2556,0.7959,0.3243,0.0397,114,19,0,1,0.8683,0
0.1138,0.6963,0.5454,0.1653,192,48,0,1,0.7326,0
0.0374,0.4797,0.5572,0.1573,180,36,0,1,0.8331,0
0.1454,0.0343,0.0571,0.0598,6,1,1,0,0.8806,1
0.1153,0.8232,0.1055,0.0368,11,3,1,0,0.9189,1
0.5444,0.953,0.2098,0.0277,5,1,1,0,0.7844,1
0.2201,0.9711,0.0946,0.0293,8,1,1,0,0.9681,1
0.5498,0.0713,0.0941,0.0449,8,1,1,0,0.9279,1
0.5216,0.0376,0.1948,0.0484,10,1,1,0,0.9842,1
0.6799,0.9711,0.2035,0.0391,5,2,1,0,0.7402,1
0.2037,0.9628,0.0895,0.0421,3,2,1,0,0.8904,1
0.5067,0.0465,0.2936,0.0522,4,1,1,0,0.9716,1
0.3177,0.6908,0.2981,0.0539,30,6,1,1,0.8468,0
0.0617,0.4175,0.1731,0.038,12,1,1,0,0.7615,1
0.5254,0.1897,0.3251,0.0683,18,3,1,0,0.707,0
0.1814,0.3984,0.3015,0.0324,126,18,0,1,0.8753,0
0.4836,0.5295,0.543,0.0315,126,18,0,1,0.737,0
0.0908,0.9179,0.1744,0.0406,10,2,1,0,0.9337,1
0.118,0.055,0.4389,0.0245,12,2,1,0,0.8526,1
0.1417,0.8025,0.31,0.0458,108,18,0,1,0.7847,0
0.5489,0.7425,0.6393,0.0683,66,11,0,1,0.7515,0
0.3243,0.3608,0.2531,0.1016,16,4,1,0,0.7576,0
0.4449,0.0442,0.2754,0.0271,6,2,1,0,0.9451,1
0.6011,0.9086,0.0907,0.0258,3,2,1,0,0.9686,1
0.1282,0.9429,0.1614,0.0357,3,2,1,0,0.9848,1
0.4416,0.0454,0.4232,0.0447,7,1,1,0,0.9409,1
0.1007,0.543,0.4444,0.1094,112,16,0,1,0.8132,0
0.0176,0.8511,0.1472,0.032,8,1,1,0,0.818,1
0.3446,0.0011,0.1389,0.0412,4,2,1,0,0.8248,1
0.4105,0.0487,0.3875,0.0264,2,1,1,0,0.9697,1
0.5316,0.3184,0.3795,0.0518,55,11,0,1,0.8978,0
0.0601,0.3608,0.5126,0.0318,76,19,0,1,0.7073,0
0.302,0.0737,0.2784,0.034,11,2,1,0,0.8379,1
0.0645,0.4668,0.0589,0.0386,5,1,1,0,0.8223,1
0.4356,0.2305,0.623,0.037,112,16,0,1,0.9342,0
0.3217,0.6478,0.4739,0.0425,77,11,0,1,0.8696,0
0.5103,0.5639,0.1416,0.0298,3,1,1,0,0.8165,1
0.1186,0.7271,0.3771,0.0813,60,20,0,1,0.6516,0
0.2703,0.0448,0.3554,0.032,5,1,1,0,0.8842,1
0.5235,0.4967,0.4723,0.1191,108,18,0,1,0.8542,0
0.3997,0.0613,0.4177,0.0308,4,2,1,0,0.9119,1
0.0619,0.9479,0.1818,0.0412,9,1,1,0,0.8768,1
0.2368,0.6443,0.4157,0.0535,56,8,0,1,0.6893,0
